,Nationality Country,Age_mean,Age_min,Age_max,Overall_mean,Overall_min,Overall_max,Potential_mean,Potential_min,Potential_max,International Reputation_mean,International Reputation_min,International Reputation_max,Wage_mean,Wage_min,Wage_max,Value_mean,Value_min,Value_max,Release Clause_mean,Release Clause_min,Release Clause_max,Lat,Lng
88,Lebanon,29.0,29,29,66.0,66,66,66.0,66,66,1.0,1.0,1.0,2000.0,2000.0,2000.0,500000.0,500000.0,500000.0,625000.0,625000.0,625000.0,33.947466666666664,35.75201666666667
89,Liberia,25.0,25,25,68.0,68,68,73.0,73,73,1.0,1.0,1.0,3000.0,3000.0,3000.0,1200000.0,1200000.0,1200000.0,1600000.0,1600000.0,1600000.0,6.205782352941177,-9.587105882352942
90,Libya,25.0,24,26,70.0,67,72,73.5,72,76,1.0,1.0,1.0,4750.0,4000.0,6000.0,2400000.0,1000000.0,3600000.0,4025000.0,2200000.0,6000000.0,30.013242857142863,16.419364285714284
91,Liechtenstein,25.333333333333332,22,27,64.66666666666667,57,71,67.66666666666667,66,71,1.0,1.0,1.0,5000.0,2000.0,10000.0,1078333.3333333333,160000.0,2400000.0,1881000.0,264000.0,4400000.0,47.17375454545455,9.527236363636362
92,Lithuania,24.875,19,31,63.5,53,71,68.5,60,77,1.0,1.0,1.0,2875.0,1000.0,7000.0,875625.0,130000.0,2500000.0,1395000.0,244000.0,4200000.0,55.3071870967742,23.76364838709677
93,Luxembourg,23.25,18,28,63.875,57,71,71.375,63,78,1.0,1.0,1.0,4000.0,1000.0,10000.0,853750.0,150000.0,2200000.0,1594833.3333333333,363000.0,3500000.0,49.71668,6.125673333333332
94,Macedonia,25.1,18,34,68.0,50,77,72.5,63,83,1.05,1.0,2.0,7900.0,1000.0,30000.0,2778750.0,60000.0,12000000.0,5662684.2105263155,125000.0,27600000.0,41.66269857142857,21.72879428571429
95,Madagascar,27.5,21,34,66.91666666666667,60,76,68.83333333333333,63,77,1.0833333333333333,1.0,2.0,7750.0,1000.0,48000.0,1014166.6666666666,220000.0,2800000.0,1891166.6666666667,402000.0,4900000.0,-18.546341379310345,47.025255172413814
96,Mali,24.74418604651163,18,34,68.97674418604652,56,80,73.69767441860465,63,85,1.0232558139534884,1.0,2.0,10674.418604651162,1000.0,38000.0,2688372.093023256,160000.0,16000000.0,5607184.2105263155,200000.0,32000000.0,14.962616129032265,-5.4715290322580685
97,Malta,25.0,25,25,61.0,61,61,63.0,63,63,1.0,1.0,1.0,2000.0,2000.0,2000.0,300000.0,300000.0,300000.0,,,,35.91974852941177,14.425494117647064
98,Mauritania,23.0,20,26,64.5,62,67,70.0,66,74,1.0,1.0,1.0,2000.0,1000.0,4000.0,600000.0,375000.0,825000.0,971666.6666666666,684000.0,1500000.0,18.78585909090909,-12.86853181818182
99,Mauritius,26.0,26,26,68.0,68,68,69.0,69,69,1.0,1.0,1.0,4000.0,4000.0,4000.0,875000.0,875000.0,875000.0,1600000.0,1600000.0,1600000.0,-20.100416666666664,58.552883333333334
100,Mexico,24.31967213114754,17,45,65.41803278688525,50,82,71.50819672131148,57,86,1.095890410958904,1.0,3.0,8825.136612021857,1000.0,90000.0,1684289.6174863388,20000.0,24000000.0,3104918.674698795,34000.0,44600000.0,21.421463515312997,-99.90635139813561
101,Moldova,23.6,17,31,66.2,51,74,73.2,67,79,1.2,1.0,2.0,11200.0,1000.0,27000.0,2359000.0,70000.0,6000000.0,4270400.0,152000.0,10200000.0,47.21672641509434,28.507718867924524
102,Montenegro,25.0,18,36,68.47826086956522,59,83,72.95652173913044,62,86,1.173913043478261,1.0,3.0,13086.95652173913,1000.0,79000.0,3405869.565217391,170000.0,26000000.0,7157650.0,324000.0,55300000.0,42.672162500000006,19.312220833333342
103,Montserrat,25.5,22,28,64.75,63,67,68.0,65,71,1.0,1.0,1.0,3000.0,2000.0,5000.0,587500.0,500000.0,800000.0,992250.0,656000.0,1400000.0,16.7425,-62.1874
104,Morocco,25.894117647058824,18,36,69.94117647058823,52,86,73.31764705882352,58,86,1.1529411764705881,1.0,3.0,14847.058823529413,1000.0,160000.0,3948352.9411764704,20000.0,32500000.0,6912531.645569621,25000.0,49500000.0,33.33704615384614,-5.9455858974358895
105,Mozambique,26.0,21,30,71.0,66,75,73.75,70,76,1.25,1.0,2.0,11000.0,2000.0,28000.0,2850000.0,700000.0,5000000.0,5800000.0,1500000.0,9500000.0,-18.906542499999993,35.88385000000001
106,Namibia,24.666666666666668,20,27,66.0,65,67,71.33333333333333,68,78,1.0,1.0,1.0,3333.3333333333335,1000.0,8000.0,783333.3333333334,450000.0,1000000.0,1500000.0,1000000.0,2100000.0,-21.40297419354839,16.925925806451616
107,Netherlands,24.0,16,40,67.65342163355409,54,86,73.0242825607064,58,91,1.1504424778761062,1.0,4.0,10035.320088300221,1000.0,165000.0,2870154.5253863134,10000.0,44500000.0,5037802.816901408,15000.0,87900000.0,46.114355555555846,-6.365655555555509
108,New Caledonia,30.0,30,30,71.0,71,71,71.0,71,71,1.0,1.0,1.0,9000.0,9000.0,9000.0,1800000.0,1800000.0,1800000.0,3500000.0,3500000.0,3500000.0,-21.40973333333333,166.1925666666667
109,New Zealand,24.25,16,36,62.61363636363637,52,77,68.06818181818181,61,80,1.0227272727272727,1.0,2.0,4454.545454545455,0.0,68000.0,957727.2727272727,0.0,10500000.0,2139911.7647058824,63000.0,20700000.0,-40.35061805555553,168.99155694444465
110,Nicaragua,29.0,29,29,64.0,62,66,64.0,62,66,1.0,1.0,1.0,1000.0,1000.0,1000.0,400000.0,300000.0,500000.0,675000.0,675000.0,675000.0,12.268990909090906,-85.73145454545455
111,Niger,24.666666666666668,21,29,62.333333333333336,54,67,66.66666666666667,63,71,1.0,1.0,1.0,3666.6666666666665,1000.0,6000.0,578333.3333333334,110000.0,1000000.0,1120000.0,160000.0,2100000.0,14.648831578947366,6.2976
